Title,Views,Duration,Comment_count,Upload_date,Author,Likes,Dislikes
CS50P - Introduction,399492,257,67,20220708,CS50,4328,0
"CS50P - Lecture 0 - Functions, Variables",484174,6338,254,20220708,CS50,5657,0
CS50P - Visual Studio Code for CS50,128924,1053,49,20220708,CS50,1622,0
CS50P - Lecture 1 - Conditionals,159933,3368,111,20220708,CS50,1796,0
CS50P - Lecture 2 - Loops,157725,4847,126,20220708,CS50,1766,0
CS50P - Lecture 3 - Exceptions,94557,2676,58,20220715,CS50,1140,0
CS50P - Debugging,27605,1099,34,20220822,CS50,530,0
CS50P - Lecture 4 - Libraries,79393,4648,71,20220803,CS50,1080,0
CS50P - Style,35175,697,34,20220805,CS50,579,0
CS50P - Lecture 5 - Unit Tests,78120,3054,64,20220722,CS50,1174,0
CS50P - Lecture 6 - File I/O,93746,5545,103,20220722,CS50,1211,0
CS50P - Lecture 7 - Regular Expressions,89062,7500,73,20220729,CS50,1437,0
CS50P - Lecture 8 - Object-Oriented Programming,242940,10272,188,20220729,CS50,5010,0
CS50P - Lecture 9 - Et Cetera,64079,8944,85,20220822,CS50,730,0
